run_name,method,lora_rank,validation_accuracy,training_loss,trainable_parameters,total_parameters,trainable_parameter_ratio,training_time_seconds,epochs,batch_size,max_train_samples,max_eval_samples,learning_rate,fp16
smoke_full_finetune,full,,0.484375,0.7049827575683594,124647170,124647170,1.0,1.79,1.0,4,64,64,2e-05,True
smoke_lora_r4,lora,4,0.484375,0.7191543579101562,739586,125386756,0.005898437949858118,1.81,1.0,4,64,64,0.0001,True
smoke_lora_r8,lora,8,0.484375,0.7188339233398438,887042,125534212,0.0070661374765310985,1.68,1.0,4,64,64,0.0001,True
smoke_lora_r16,lora,16,0.484375,0.7180709838867188,1181954,125829124,0.009393326142841144,1.67,1.0,4,64,64,0.0001,True
smoke_full_finetune,full,,0.484375,0.7049827575683594,124647170,124647170,1.0,2.02,1.0,4,64,64,2e-05,True
smoke_lora_r4,lora,4,0.484375,0.7191543579101562,739586,125386756,0.005898437949858118,1.73,1.0,4,64,64,0.0001,True
smoke_lora_r8,lora,8,0.484375,0.7188339233398438,887042,125534212,0.0070661374765310985,1.39,1.0,4,64,64,0.0001,True
smoke_lora_r16,lora,16,0.484375,0.7180709838867188,1181954,125829124,0.009393326142841144,1.72,1.0,4,64,64,0.0001,True
full_finetune,full,,0.9208715596330275,0.26665716997805045,124647170,124647170,1.0,3552.46,3.0,4,full,full,2e-05,True
lora_r4,lora,4,0.9392201834862385,0.31422607839336425,739586,125386756,0.005898437949858118,2596.12,3.0,4,full,full,0.0001,True
lora_r8,lora,8,0.9323394495412844,0.30515510996355033,887042,125534212,0.0070661374765310985,2166.64,3.0,4,full,full,0.0001,True
lora_r16,lora,16,0.9311926605504587,0.2972660471507167,1181954,125829124,0.009393326142841144,2198.35,3.0,4,full,full,0.0001,True
